Date,doc,CCAA,Infectados,Hospitalizados,UCI,Fallecidos,Curados,Nuevos
2020-03-30,60,Aragon,2078,1094,156.0,106.0,174,220
2020-03-30,60,Asturias,1158,479,60.0,49.0,78,70
2020-03-30,60,Baleares,1000,353,80.0,37.0,100,42
2020-03-30,60,Canarias,1204,444,84.0,40.0,32,79
2020-03-30,60,Cantabria,1100,481,46.0,27.0,24,77
2020-03-30,60,Castilla La Mancha,5858,3134,302.0,622.0,252,612
2020-03-30,60,Castilla y Leon,5801,2540,307.0,442.0,871,387
2020-03-30,60,Cataluña,16157,11769,1512.0,1410.0,4125,1131
2020-03-30,60,Ceuta,25,2,2.0,1.0,0,4
2020-03-30,60,C. Valenciana,5110,2042,336.0,310.0,185,326
2020-03-30,60,Extremadura,1560,353,43.0,106.0,60,104
2020-03-30,60,Galicia,3723,1147,134.0,66.0,168,584
2020-03-30,60,Madrid,24090,14917,1460.0,3392.0,8301,1413
2020-03-30,60,Melilla,51,27,3.0,1.0,0,3
2020-03-30,60,Murcia,939,265,58.0,25.0,17,67
2020-03-30,60,Navarra,2146,955,96.0,102.0,161,135
2020-03-30,60,Pais Vasco,6057,3427,293.0,297.0,1646,317
2020-03-30,60,La Rioja,1733,517,43.0,71.0,431,104
2020-03-31,61,Andalucia,5818,2867,235.0,248.0,160,413
2020-03-31,61,Aragon,2272,1176,165.0,138.0,204,194
2020-03-31,61,Asturias,1236,529,65.0,55.0,90,78
2020-03-31,61,Baleares,1069,399,85.0,42.0,111,69
2020-03-31,61,Canarias,1262,483,94.0,55.0,57,58
2020-03-31,61,Cantabria,1171,522,50.0,37.0,35,71
2020-03-31,61,Castilla La Mancha,6424,3225,344.0,708.0,296,566
2020-03-31,61,Castilla y Leon,6211,2601,325.0,516.0,1028,410
2020-03-31,61,Cataluña,18773,12974,1652.0,1672.0,4966,2616
2020-03-31,61,Ceuta,34,3,3.0,1.0,0,9
2020-03-31,61,C. Valenciana,5508,2189,356.0,339.0,200,398
2020-03-31,61,Extremadura,1628,371,51.0,133.0,91,68
2020-03-31,61,Galicia,4039,1250,149.0,84.0,187,316
2020-03-31,61,Madrid,27509,15140,1514.0,3603.0,9330,3419
2020-03-31,61,Melilla,54,27,3.0,1.0,0,3
2020-03-31,61,Murcia,974,283,59.0,34.0,20,35
2020-03-31,61,Navarra,2305,1035,99.0,113.0,192,159
2020-03-31,61,Pais Vasco,6320,3594,307.0,325.0,1796,263
2020-03-31,61,La Rioja,1810,575,51.0,85.0,496,77
2020-04-01,62,Andalucia,6392,3147,260.0,308.0,182,574
2020-04-01,62,Aragon,2491,1234,168.0,169.0,257,219
2020-04-01,62,Asturias,1322,590,76.0,63.0,109,86
2020-04-01,62,Baleares,1131,468,95.0,46.0,170,62
2020-04-01,62,Canarias,1380,532,110.0,62.0,77,118
2020-04-01,62,Cantabria,1213,543,54.0,54.0,43,42
2020-04-01,62,Castilla La Mancha,7047,3230,353.0,774.0,397,623
2020-04-01,62,Castilla y Leon,6847,2692,345.0,585.0,1259,636
2020-04-01,62,Cataluña,19991,13969,1769.0,1849.0,5701,1218
2020-04-01,62,Ceuta,51,6,3.0,1.0,0,17
2020-04-01,62,C. Valenciana,5922,2189,365.0,395.0,240,414
2020-04-01,62,Extremadura,1679,372,58.0,152.0,113,51
2020-04-01,62,Galicia,4432,1338,158.0,103.0,259,393
2020-04-01,62,Madrid,29840,15227,1514.0,3865.0,10827,2331
2020-04-01,62,Melilla,62,32,3.0,1.0,0,8
2020-04-01,62,Murcia,1041,304,59.0,37.0,43,67
2020-04-01,62,Navarra,2497,1120,104.0,130.0,236,192
2020-04-01,62,Pais Vasco,6838,3806,324.0,369.0,2165,518
2020-04-01,62,La Rioja,1960,619,54.0,90.0,569,150
2020-04-02,63,Andalucia,6972,3444,280.0,343.0,228,580
2020-04-02,63,Aragon,2700,1320,178.0,200.0,320,209
2020-04-02,63,Asturias,1384,640,79.0,69.0,135,62
2020-04-02,63,Baleares,1204,517,105.0,58.0,239,73
2020-04-02,63,Canarias,1444,566,113.0,68.0,94,64
2020-04-02,63,Cantabria,1268,567,57.0,60.0,60,55
2020-04-02,63,Castilla La Mancha,7682,3230,355.0,854.0,494,635
2020-04-02,63,Castilla y Leon,7355,2709,353.0,641.0,1498,508
2020-04-02,63,Cataluña,21804,15489,1855.0,2093.0,6917,1813
2020-04-02,63,Ceuta,55,7,3.0,1.0,0,4
2020-04-02,63,C. Valenciana,6308,2189,379.0,443.0,432,386
2020-04-02,63,Extremadura,1837,412,62.0,181.0,139,158
2020-04-02,63,Galicia,4842,1447,165.0,120.0,333,410
2020-04-02,63,Madrid,32155,15227,1528.0,4175.0,12400,2315
2020-04-02,63,Melilla,62,32,3.0,1.0,0,0
2020-04-02,63,Murcia,1084,389,68.0,42.0,45,43
2020-04-02,63,Navarra,2682,1181,108.0,141.0,278,185
2020-04-02,63,Pais Vasco,7317,4087,344.0,412.0,2490,479
2020-04-02,63,La Rioja,2083,660,57.0,101.0,641,123
2020-04-03,64,Andalucia,7374,3673,338.0,376.0,258,402
2020-04-03,64,Aragon,2889,1431,180.0,224.0,378,189
2020-04-03,64,Asturias,1433,702,86.0,70.0,154,49
2020-04-03,64,Baleares,1257,587,112.0,69.0,375,53
2020-04-03,64,Canarias,1490,605,120.0,73.0,102,46
2020-04-03,64,Cantabria,1321,592,59.0,64.0,74,53
2020-04-03,64,Castilla La Mancha,8523,3168,355.0,916.0,579,841
2020-04-03,64,Castilla y Leon,7875,2711,355.0,723.0,1759,520
2020-04-03,64,Cataluña,23460,17257,2053.0,2335.0,7849,1656
2020-04-03,64,Ceuta,62,8,3.0,1.0,2,7
2020-04-03,64,C. Valenciana,6624,2064,386.0,511.0,592,316
2020-04-03,64,Extremadura,1893,415,64.0,200.0,164,56
2020-04-03,64,Galicia,5219,1630,178.0,138.0,435,377
2020-04-03,64,Madrid,34188,15050,1506.0,4483.0,13850,2033
2020-04-03,64,Melilla,70,34,3.0,2.0,4,8
2020-04-03,64,Murcia,1145,405,72.0,46.0,90,61
2020-04-03,64,Navarra,2836,1284,119.0,151.0,294,154
2020-04-03,64,Pais Vasco,7827,4283,363.0,444.0,2809,510
2020-04-03,64,La Rioja,2224,738,64.0,109.0,745,141
2020-04-04,65,Andalucia,7869,3896,364.0,426.0,463,495
2020-04-04,65,Aragon,3078,1505,190.0,251.0,440,189
2020-04-04,65,Asturias,1522,766,87.0,76.0,190,89
2020-04-04,65,Baleares,1271,634,114.0,71.0,422,14
2020-04-04,65,Canarias,1564,632,128.0,78.0,123,74
2020-04-04,65,Cantabria,1384,619,60.0,68.0,99,63
2020-04-04,65,Castilla La Mancha,9324,3133,360.0,989.0,657,801
2020-04-04,65,Castilla y Leon,8332,2664,348.0,786.0,2021,457
2020-04-04,65,Cataluña,24734,17678,2108.0,2508.0,8635,1274
2020-04-04,65,Ceuta,73,8,4.0,1.0,2,11
2020-04-04,65,C. Valenciana,6901,1977,386.0,571.0,695,277
2020-04-04,65,Extremadura,1979,453,64.0,208.0,205,86
2020-04-04,65,Galicia,5625,1767,178.0,159.0,531,406
